WRKLOSSRV,ANXIOUS,WORRY,INTEREST,DOWN,SCRAM
0.0,0.0,0.0,1.0,0.0,P030000001
0.0,0.0,0.0,1.0,0.0,P030000002
0.0,0.0,0.0,1.0,0.0,P030000003
0.0,0.0,0.0,1.0,0.0,P030000004
0.0,0.0,0.0,0.0,0.0,P030000005
0.0,0.0,0.0,0.0,0.0,P030000006
0.0,0.0,0.0,1.0,0.0,P030000007
0.0,0.0,0.0,1.0,0.0,P030000008
0.0,0.0,0.0,1.0,0.0,P030000010
0.0,0.0,0.0,1.0,0.0,P030000011
0.0,1.0,1.0,0.0,1.0,P030000013
0.0,0.0,0.0,1.0,0.0,P030000014
0.0,0.0,0.0,1.0,0.0,P030000015
0.0,1.0,1.0,1.0,0.0,P030000016
1.0,1.0,1.0,0.0,1.0,P030000017
0.0,0.0,0.0,1.0,0.0,P030000018
0.0,0.0,0.0,1.0,0.0,P030000019
1.0,0.0,0.0,1.0,0.0,P030000020
0.0,0.0,0.0,1.0,0.0,P030000021
0.0,0.0,0.0,1.0,0.0,P030000022
0.0,0.0,0.0,1.0,1.0,P030000023
0.0,1.0,1.0,1.0,0.0,P030000024
0.0,0.0,0.0,1.0,0.0,P030000025
0.0,0.0,0.0,1.0,0.0,P030000027
0.0,0.0,0.0,1.0,0.0,P030000028
0.0,1.0,1.0,0.0,1.0,P030000029
0.0,1.0,1.0,1.0,0.0,P030000030
0.0,1.0,1.0,0.0,1.0,P030000031
0.0,1.0,1.0,1.0,1.0,P030000032
0.0,0.0,0.0,1.0,0.0,P030000033
0.0,1.0,1.0,1.0,0.0,P030000035
0.0,0.0,0.0,1.0,0.0,P030000036
0.0,1.0,1.0,0.0,1.0,P030000037
0.0,0.0,0.0,1.0,0.0,P030000038
0.0,1.0,1.0,0.0,1.0,P030000039
0.0,1.0,1.0,1.0,0.0,P030000041
0.0,0.0,0.0,1.0,0.0,P030000042
0.0,0.0,0.0,1.0,0.0,P030000043
0.0,1.0,0.0,0.0,1.0,P030000044
0.0,1.0,0.0,1.0,0.0,P030000046
0.0,1.0,0.0,0.0,0.0,P030000047
0.0,1.0,0.0,0.0,0.0,P030000048
0.0,0.0,1.0,1.0,0.0,P030000049
0.0,1.0,1.0,0.0,1.0,P030000050
0.0,1.0,0.0,1.0,0.0,P030000051
0.0,0.0,0.0,1.0,0.0,P030000052
0.0,0.0,0.0,1.0,0.0,P030000053
0.0,0.0,0.0,0.0,0.0,P030000054
1.0,0.0,1.0,0.0,0.0,P030000055
0.0,1.0,1.0,1.0,1.0,P030000056
0.0,1.0,1.0,1.0,1.0,P030000057
0.0,0.0,0.0,1.0,0.0,P030000058
0.0,1.0,1.0,0.0,1.0,P030000059
1.0,0.0,0.0,1.0,0.0,P030000060
0.0,0.0,0.0,1.0,0.0,P030000061
0.0,1.0,1.0,1.0,1.0,P030000062
0.0,1.0,1.0,0.0,1.0,P030000063
0.0,0.0,0.0,1.0,0.0,P030000064
0.0,0.0,0.0,1.0,0.0,P030000065
0.0,1.0,1.0,1.0,0.0,P030000066
0.0,1.0,1.0,0.0,1.0,P030000067
0.0,0.0,0.0,1.0,0.0,P030000068
1.0,0.0,0.0,1.0,0.0,P030000069
0.0,1.0,0.0,0.0,1.0,P030000070
0.0,0.0,0.0,1.0,0.0,P030000071
0.0,0.0,0.0,1.0,0.0,P030000072
0.0,0.0,0.0,1.0,0.0,P030000073
0.0,1.0,1.0,1.0,0.0,P030000074
0.0,1.0,1.0,0.0,1.0,P030000075
0.0,0.0,0.0,1.0,0.0,P030000076
0.0,0.0,0.0,1.0,0.0,P030000077
0.0,0.0,0.0,1.0,0.0,P030000079
0.0,0.0,0.0,1.0,0.0,P030000080
0.0,0.0,0.0,1.0,0.0,P030000081
0.0,0.0,0.0,1.0,0.0,P030000082
0.0,1.0,0.0,0.0,1.0,P030000083
1.0,0.0,0.0,1.0,0.0,P030000084
1.0,1.0,1.0,0.0,1.0,P030000085
0.0,0.0,0.0,0.0,0.0,P030000086
0.0,0.0,0.0,1.0,0.0,P030000087
0.0,0.0,0.0,1.0,0.0,P030000088
0.0,0.0,0.0,1.0,0.0,P030000089
0.0,0.0,0.0,1.0,0.0,P030000090
1.0,1.0,1.0,0.0,1.0,P030000091
1.0,1.0,1.0,0.0,1.0,P030000092
0.0,1.0,1.0,1.0,0.0,P030000093
1.0,0.0,0.0,1.0,0.0,P030000094
0.0,1.0,0.0,1.0,0.0,P030000095
0.0,1.0,1.0,0.0,1.0,P030000096
0.0,1.0,1.0,1.0,0.0,P030000097
0.0,0.0,1.0,0.0,0.0,P030000098
1.0,1.0,1.0,0.0,1.0,P030000099
0.0,0.0,0.0,1.0,0.0,P030000100
0.0,0.0,0.0,1.0,0.0,P030000102
0.0,1.0,1.0,0.0,1.0,P030000103
0.0,0.0,0.0,1.0,0.0,P030000104
0.0,1.0,1.0,0.0,1.0,P030000105
0.0,0.0,0.0,0.0,0.0,P030000106
0.0,1.0,1.0,0.0,1.0,P030000107
0.0,1.0,1.0,1.0,1.0,P030000108
0.0,0.0,0.0,0.0,0.0,P030000109
1.0,0.0,0.0,1.0,0.0,P030000110
0.0,0.0,0.0,1.0,0.0,P030000111
0.0,0.0,0.0,1.0,0.0,P030000112
0.0,0.0,0.0,1.0,0.0,P030000113
0.0,0.0,0.0,1.0,0.0,P030000114
1.0,0.0,0.0,1.0,0.0,P030000115
0.0,0.0,1.0,0.0,0.0,P030000116
0.0,0.0,0.0,1.0,0.0,P030000117
0.0,0.0,0.0,1.0,0.0,P030000118
0.0,0.0,0.0,1.0,0.0,P030000119
0.0,0.0,0.0,1.0,0.0,P030000120
0.0,0.0,0.0,0.0,1.0,P030000121
0.0,0.0,0.0,1.0,0.0,P030000122
0.0,0.0,0.0,1.0,0.0,P030000123
0.0,0.0,0.0,1.0,0.0,P030000124
0.0,1.0,1.0,0.0,1.0,P030000125
0.0,0.0,1.0,1.0,1.0,P030000126
0.0,0.0,0.0,1.0,0.0,P030000127
0.0,0.0,0.0,1.0,0.0,P030000128
0.0,0.0,0.0,1.0,0.0,P030000129
0.0,0.0,0.0,1.0,0.0,P030000130
0.0,1.0,1.0,0.0,0.0,P030000131
0.0,1.0,1.0,1.0,0.0,P030000132
0.0,1.0,1.0,0.0,1.0,P030000133
0.0,0.0,0.0,1.0,0.0,P030000134
0.0,0.0,0.0,1.0,1.0,P030000135
0.0,0.0,0.0,1.0,0.0,P030000136
0.0,1.0,1.0,0.0,1.0,P030000137
0.0,0.0,0.0,1.0,0.0,P030000138
0.0,1.0,1.0,0.0,1.0,P030000139
0.0,0.0,0.0,1.0,0.0,P030000140
